variable переменная
array массив
implement реализовать
extend расширить
definition определение
scope область видимости
deploy разворачивать_приложение
template шаблон
issue проблема
response ответ
dependency зависимость
maintain поддерживать
note_that обратите_внимание
request запрос
geteway шлюз
software программное_обеспечение
data данные
exception исключение
encrypt зашифровать
verify проверить
disable отключить
utility утилита
above выше
below ниже
capabilities возможности
network сеть
shutdown выключение
